127.0.0.1 - - [10/Mar/2018:13:56:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Mar/2018:13:56:46 +0530] "GET /Ecommerce/ HTTP/1.1" 500 27414
0:0:0:0:0:0:0:1 - - [10/Mar/2018:13:58:04 +0530] "GET /Ecommerce/ HTTP/1.1" 500 27414
0:0:0:0:0:0:0:1 - - [10/Mar/2018:13:59:09 +0530] "GET /Ecommerce/ HTTP/1.1" 500 27414
0:0:0:0:0:0:0:1 - - [10/Mar/2018:13:59:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:46 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:48 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:48 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:48 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:48 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:48 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:48 +0530] "GET /Ecommerce/resources/images/img2.jpg HTTP/1.1" 200 66116
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:04:48 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8784
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:02 +0530] "GET /Ecommerce/resources/images/img2.jpg HTTP/1.1" 200 66116
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:03 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:03 +0530] "GET /Ecommerce/resources/images/img2.jpg HTTP/1.1" 200 66116
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/noAccessPage HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/images/noaccess.jpg HTTP/1.1" 200 8998
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:06 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/noAccessPage HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/css/datatables.css HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/css/datatables.min.css HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/images/noaccess.jpg HTTP/1.1" 200 8998
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:17 +0530] "GET /Ecommerce/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/noAccessPage HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [10/Mar/2018:14:05:18 +0530] "GET /Ecommerce/resources/css/ss.css HTTP/1.1" 200 48
